iter	Passed	Remaining
0	11	1183
1	22	1113
2	31	1019
3	38	931
4	42	800
5	49	775
6	54	719
7	57	659
8	58	591
9	61	550
10	62	502
11	68	502
12	75	505
13	82	504
14	85	487
15	87	461
16	90	440
17	94	428
18	100	429
19	107	430
20	108	408
21	110	391
22	117	392
23	124	392
24	126	379
25	132	378
26	134	364
27	136	351
28	142	348
29	148	346
30	150	335
31	152	323
32	153	311
33	159	309
34	160	298
35	166	296
36	173	294
37	178	291
38	185	290
39	193	290
40	195	282
41	200	276
42	205	272
43	206	263
44	212	259
45	218	256
46	223	252
47	229	248
48	233	242
49	238	238
50	244	234
51	247	228
52	249	221
53	255	217
54	261	213
55	266	209
56	272	205
57	278	201
58	284	197
59	289	193
60	295	188
61	300	184
62	306	180
63	312	175
64	317	170
65	322	166
66	324	159
67	326	153
68	332	149
69	337	144
70	342	139
71	348	135
72	354	131
73	364	127
74	377	125
75	383	121
76	386	115
77	392	110
78	398	105
79	403	100
80	409	96
81	416	91
82	421	86
83	427	81
84	433	76
85	439	71
86	445	66
87	450	61
88	456	56
89	461	51
90	467	46
91	473	41
92	478	36
93	484	30
94	489	25
95	495	20
96	501	15
97	507	10
98	513	5
99	518	0
